物料	物料号	产品名称	型号规格	型号规格（中）	物料特征	六位代码	供应商代码	供应商名称	基本单位	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	物流毛重	物流毛重单位	物流体积	物流体积单位	物流长度	物流宽度	物流高度	物流尺寸单位	SN标志	基本单位 /主包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	基本单位 /次包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	经销商价格	SRP	始销日期	停止日期	下载日期	产品组	业务部门	物料组1
27-5037-90	P27503790	VPCX119LC/X（黑）	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.12	KG	8119.2	CCM	39.8	8	25.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11399		20010101	0	20110829	VAIO	CSM	VAIO
27-5037-91	P27503791	VPCX118LC/B	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.12	KG	8119.2	CCM	39.8	8	25.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9499		20010101	0	20110829	VAIO	CSM	VAIO
27-5037-92	P27503792	VPCX118LC/N	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.12	KG	8119.2	CCM	39.8	8	25.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9499		20010101	0	20110829	VAIO	CSM	VAIO
27-5037-93	P27503793	VPCX116KC/B	NOTBOOK	笔记本电脑		SZSLBZ	500100	Sony Corporation-USD	台	0.48	0.48	0.0006	0.1	0.15	0.02	2.12	KG	8119.2	CCM	39.8	8	25.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8549		20010101	0	20110829	VAIO	CSM	VAIO
27-5039-90	P27503990	VPCL118FC/T	NOTBOOK	笔记本电脑		KIUFRU	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.1	0.02	18	KG	74250	CCM	67.5	20	55	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14099		20010101	0	20110829	VAIOAC	CSM	VAIO
27-5045-90	P27504590	VGN-SR59G/J（亮粉）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.5	KG	19103.75	CCM	42.5	14.5	31	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11399		20010101	0	20110829	VAIO	CSM	VAIO
27-5045-91	P27504591	VGN-SR58F/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.5	KG	19103.75	CCM	42.5	14.5	31	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9499		20010101	0	20110829	VAIO	CSM	VAIO
27-5045-92	P27504592	VGN-SR55E/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.418	KG	19411.875	CCM	42.5	31.5	14.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7599		20010101	0	20110829	VAIO	CSM	VAIO
27-5045-93	P27504593	VGN-SR59G/B（黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.5	KG	19103.75	CCM	42.5	14.5	31	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11399		20010101	0	20110829	VAIO	CSM	VAIO
27-5045-94	P27504594	VGN-SR58F/J（粉）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.5	KG	19103.75	CCM	42.5	14.5	31	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9499		20010101	0	20110829	VAIO	CSM	VAIO
