打单日期,出货日期,最晚送达日期,单号,发货方名称,发货方地址,发货方联系人,发货方联系电话,起运城市,收货方编号,收货方名称,收货方地址,收货方联系人,收货方联系电话,目的城市,运输方式,配送方式,产品编码,产品名称,产品型号,产品单位,单位体积,单位重量,发货数量,特殊要求,是否需要订单,订单特殊要求,需要预约,若有指定签收人的人名,会出具入库单,入库单需要交给SONY,签收情况,周六是否收货,周日是否收货,收货开始时间,收货结束时间,SONY销售员,SONY销售员联系电话	,SONY销售员上级主管,SONY销售员上级主管电话
2011-5-9 8:09:50,,,9204522661,SAP库,,,,,5370013001,DICS_济宁1店_建设路_众志达,济宁市建设北路122号,,,济宁,卡车装运,,P48891349,数码相机,DSC-J10/红  CN2,台,0.00,4.50,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:50,,,9204522661,SAP库,,,,,5370013001,DICS_济宁1店_建设路_众志达,济宁市建设北路122号,,,济宁,卡车装运,,P02229172,照相机便携包,LCS-CSZ/粉  CN2,个,0.00,1.53,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:50,,,9204522661,SAP库,,,,,5370013001,DICS_济宁1店_建设路_众志达,济宁市建设北路122号,,,济宁,卡车装运,,P48891447,数码相机,DSC-J10/橙  CN2,台,0.00,4.50,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:50,,,9204522661,SAP库,,,,,5370013001,DICS_济宁1店_建设路_众志达,济宁市建设北路122号,,,济宁,卡车装运,,P02229172,照相机便携包,LCS-CSZ/粉  CN2,个,0.00,1.53,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:51,,,9204522662,SAP库,,,,,5310944002,DICS_济南1店_赛博_索电,山东省济南市解放路43号赛博数码广场5楼547室,,,济南,卡车装运,,P02074875,数码HD摄录一体机,HDRXR160E/BCCN1,台,0.00,2.43,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:51,,,9204522662,SAP库,,,,,5310944002,DICS_济南1店_赛博_索电,山东省济南市解放路43号赛博数码广场5楼547室,,,济南,卡车装运,,P48891349,数码相机,DSC-J10/红  CN2,台,0.00,4.50,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:51,,,9204522662,SAP库,,,,,5310944002,DICS_济南1店_赛博_索电,山东省济南市解放路43号赛博数码广场5楼547室,,,济南,卡车装运,,P02229172,照相机便携包,LCS-CSZ/粉  CN2,个,0.00,1.53,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:51,,,9204522662,SAP库,,,,,5310944002,DICS_济南1店_赛博_索电,山东省济南市解放路43号赛博数码广场5楼547室,,,济南,卡车装运,,P48891447,数码相机,DSC-J10/橙  CN2,台,0.00,4.50,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:51,,,9204522662,SAP库,,,,,5310944002,DICS_济南1店_赛博_索电,山东省济南市解放路43号赛博数码广场5楼547室,,,济南,卡车装运,,P02229172,照相机便携包,LCS-CSZ/粉  CN2,个,0.00,1.53,1,,N,,N,,N,N,,,,,,,,,
2011-5-9 8:09:51,,,9204522662,SAP库,,,,,5310944002,DICS_济南1店_赛博_索电,山东省济南市解放路43号赛博数码广场5楼547室,,,济南,卡车装运,,P02225273,摄像机包,LCS-U10/HC  CN2,个,0.00,2.28,1,,N,,N,,N,N,,,,,,,,,
